head_forward_x,head_forward_y,neck_angle,spine_tilt,shoulder_hip_distance,shoulder_forward_offset,hip_tilt,trunk_to_hip_angle,torso_lean_x,torso_lean_y,com_shift_x,label,timestamp
0.162,-0.751,1.568,-1.551,1.000,0.019,-3.103,1.360,0.019,-0.978,0.009,neutral,1758901424967
0.106,-0.699,1.650,-1.498,1.000,0.073,-3.099,1.329,0.073,-0.994,0.036,neutral,1758901426438
0.105,-0.707,1.636,-1.495,1.000,0.075,-3.099,1.332,0.075,-0.988,0.037,neutral,1758901427100
0.091,-0.706,1.646,-1.448,1.000,0.115,-3.053,1.317,0.115,-0.933,0.057,neutral,1758901427628
0.085,-0.717,1.661,-1.489,1.000,0.080,-3.099,1.321,0.080,-0.973,0.040,neutral,1758901428206
0.095,-0.725,1.632,-1.507,1.000,0.062,-3.102,1.322,0.062,-0.981,0.031,neutral,1758901428844
-0.010,-0.414,1.455,-1.598,1.000,-0.027,-3.141,1.364,-0.027,-0.998,-0.014,neutral,1758902345758
0.028,-0.431,1.442,-1.491,1.000,0.082,-3.116,1.451,0.082,-1.020,0.041,neutral,1758902349477
0.058,-0.471,1.376,-1.449,1.000,0.128,-3.098,1.484,0.128,-1.047,0.064,neutral,1758902350734
0.005,-0.427,1.457,-1.566,1.000,0.005,-3.131,1.388,0.005,-0.995,0.002,neutral,1758902352193
-0.031,-0.359,1.434,-1.674,1.000,-0.100,3.111,1.340,-0.100,-0.970,-0.050,neutral,1758902353361
-0.063,-0.339,1.377,-1.724,1.000,-0.147,3.074,1.330,-0.147,-0.952,-0.074,neutral,1758902354459
0.172,-0.517,1.266,-1.685,1.000,-0.120,3.014,1.572,-0.120,-1.050,-0.060,neutral,1758902368008
0.358,-0.542,1.085,-1.608,1.000,-0.039,2.982,1.769,-0.039,-1.042,-0.020,neutral,1758902369199
0.285,-0.473,1.027,-1.636,1.000,-0.068,2.958,1.756,-0.068,-1.033,-0.034,neutral,1758902371137
0.207,-0.443,1.029,-1.664,1.000,-0.099,3.034,1.603,-0.099,-1.060,-0.050,neutral,1758902403612
0.233,-0.441,1.018,-1.667,1.000,-0.103,3.039,1.613,-0.103,-1.062,-0.051,neutral,1758902404116
0.219,-0.433,1.004,-1.654,1.000,-0.087,3.036,1.621,-0.087,-1.051,-0.044,neutral,1758902404702
0.239,-0.448,0.885,-1.655,1.000,-0.088,2.986,1.700,-0.088,-1.041,-0.044,neutral,1758902408349
0.275,-0.435,0.656,-1.600,1.000,-0.030,2.921,1.843,-0.030,-1.039,-0.015,neutral,1758902411170
0.264,-0.356,0.446,-1.608,1.000,-0.038,2.915,1.867,-0.038,-1.009,-0.019,neutral,1758902416128
0.104,-0.279,1.094,-1.524,1.000,0.045,2.751,1.972,0.045,-0.946,0.022,slouched,1758902612361
0.361,-0.325,0.519,-1.468,1.000,0.104,3.020,1.926,0.104,-1.007,0.052,head_forward,1758902620567
0.153,-0.408,0.872,-1.528,1.000,0.044,2.923,1.799,0.044,-1.032,0.022,head_forward,1758902621900
-0.196,-0.406,0.865,-1.477,1.000,0.097,-2.717,0.991,0.097,-1.033,0.049,slouched,1758902646528
-0.356,-0.333,0.386,-1.556,1.000,0.016,-2.819,0.919,0.016,-1.035,0.008,head_forward,1758902650215
-0.291,-0.328,0.349,-1.563,1.000,0.008,-2.736,0.883,0.008,-1.023,0.004,head_forward,1758902651692
0.026,-0.507,1.494,-1.610,1.000,-0.040,3.105,1.414,-0.040,-1.024,-0.020,neutral,1758905169928
0.021,-0.537,1.454,-1.585,1.000,-0.015,3.115,1.415,-0.015,-1.034,-0.007,neutral,1758905171195
